66	"SOJOURNER TRUTH HOME"	"1119 East Adams Blvd."
67	"ROBERTA STEPHENS VILLA"	"1113 East 27th Street"
68	"27th STREET BAKERY"	"2700 S. Central"
69	"28th STREET YMCA Frederick Douglas & Carter G. Woodson"	"1006 East 28th Street"
70	"ANGELUS FUNERAL HOME"	"1030 East Jefferson Boulevard"
71	"FLORENCE MILLS THEATER"	
72	"34th STREET FIRE STATION"	
73	"ELKS LODGE/MUSLIM TEMPLE"	"4016 South Central"
74	"RALPH JOHNSON BUNCHE HOME"	"1221 East 40th Place"
75	"SOMERVILLE/DUNBAR HOTEL"	"4225 South Central Avenue"
76	"CLUB ALABAM"	"4227 South Central Ave"
77	"PEOPLES FUNERAL HOME"	"4250 South Central Avenue"
78	"GOLDEN STATE MUTUAL LIFE INSURANCE"	"4263 S. Central Ave"
79	"LOS ANGELES SENTINEL Newspaper"	
80	"US POST OFFICE – Col. Leon H. Washington, Jr. Station"	"4352 S. Central Ave"
81	"VERNON LEON H. WASHINGTON  JR BRANCH LIBRARY"	"4504 South Central Avenue"
82	"VERNON AVENUE"	"VERNON AVENUE"
83	"DOLPHINS OF HOLLYWOOD"	"1065 East Vernon Avenue"
84	"UNITED HOUSE OF PRAYER FOR ALL PEOPLE Daddy Graces Church"	"1029 East Vernon Avenue"
85	"GEORGE WASHINGTON CARVER JR. HIGH SCHOOL"	"4410 McKinley Avenue"
86	"LOS ANGELES URBAN LEAGUE HEADQUARTERS"	
87	"BALDWIN HILLS VIEW PARK HOMES"	
88	"LEIMERT PARK VILLAGE"	"DEGNAN BOULEVARD"
